Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
AFFX-HUMISGF3A/M97935_MB_at	STAT1					
AFFX-HUMISGF3A/M97935_MA_at	STAT1					
AFFX-HUMISGF3A/M97935_5_at	STAT1					
AFFX-HUMISGF3A/M97935_3_at	STAT1					
AFFX-HUMGAPDH/M33197_M_at	GAPDH					
AFFX-HUMGAPDH/M33197_5_at	GAPDH					
AFFX-HUMGAPDH/M33197_3_at	GAPDH					
AFFX-HSAC07/X00351_M_at	ACTB					
40273_at	SPHK2					
40255_at	DDX28					
40225_at	GAK					
40149_at	SH2B1					
40148_at	APBB2					
40093_at	BCAM					
40020_at	CELSR3					
40016_g_at	MAST4					
39966_at	CSPG5					
39891_at	ZNF710					
39854_r_at	PNPLA2					
39835_at	SBF1					
39817_s_at	DNPH1					
39763_at	HPX					
39729_at	PRDX2					
39705_at	SIN3B					
396_f_at	EPOR					
39650_s_at	PCNX2					
39582_at	CYLD					
39549_at	NPAS2					
39548_at	NPAS2					
39402_at	IL1B					
39318_at	TCL1A					
39313_at	WNK1					
39249_at	AQP3					
39248_at	AQP3					
38964_r_at	WAS					
38918_at	SOX13					
38892_at	GLTSCR1L					
38707_r_at	E2F4					
38703_at	DNPEP					
38691_s_at	SFTPC					
38671_at	PLXND1					
38521_at	CD22					
38487_at	STAB1					
38447_at	GRK2					
38398_at	MADD					
38340_at	HIP1R					
38290_at	RGS14					
38269_at	PRKD2					
38241_at	BTN3A3					
38158_at	ESPL1					
38157_at	DXO					
38149_at	ARHGAP25					
38069_at	CLCN7					
38043_at	FAM3A					
38037_at	HBEGF					
37996_s_at	DMPK					
37986_at	EPOR					
37966_at	PARVB					
37965_at	PARVB					
37953_s_at	ASIC1					
37950_at	PREP					
37943_at	ZFYVE26					
37892_at	COL11A1					
37872_at	JRK					
37860_at	ZNF337					
37831_at	SIPA1L3					
37802_r_at	FAM63B					
37793_r_at	RAD51D					
37652_at	CABIN1					
37586_at	ZNF142					
37577_at	ARHGAP19					
37566_at	PHF24					
37549_g_at	BBS9					
37547_at	BBS9					
37512_at	HSD17B6					
37462_i_at	SF3A2					
37433_at	PIAS2					
37425_g_at	CCHCR1					
37424_at	CCHCR1					
37408_at	MRC2					
37384_at	PPM1F					
37278_at	TAZ					
37254_at	ZNF133					
37232_at	KIAA0586					
37226_at	BNIP1					
37201_at	ITIH4					
37170_at	BMP2K					
37152_at	PPARD					
37145_at	GNLY					
37079_at	NUS1P3					
37028_at	PPP1R15A					
37022_at	PRELP					
37020_at	CRP					
37012_at	CAPZB					
37004_at	SFTPB					
36994_at	ATP6V0C					
36936_at	TSTA3					
36920_at	MTM1					
36907_at	MVK					
36888_at	HAUS5					
36865_at	ANGEL1					
36830_at	MIPEP					
36742_at	TRIM15					
36711_at	MAFF					
36612_at	FAM168A					
36566_at	CTNS					
36564_at	RNF19B					
36554_at	ASMTL					
36553_at	ASMTL					
36552_at	C2CD3					
36545_s_at	SFI1					
36499_at	CELSR2					
36475_at	GCAT					
36129_at	SGSM2					
36084_at	CUL7					
36030_at	IFFO1					
36019_at	STK19					
36004_at	IKBKG					
35974_at	LRMP					
35846_at	THRA					
35820_at	GM2A					
35776_at	ITSN1					
35685_at	RING1					
35671_at	GTF3C1					
35666_at	SEMA3F					
35626_at	SGSH					
35617_at	MAPK7					
35436_at	GOLGA2					
35265_at	FXR2					
35254_at	TRAFD1					
35201_at	HNRNPL					
35179_at	B3GAT3					
35160_at	LDB1					
35156_at	R3HCC1					
35150_at	CD40					
35148_at	TJP3					
35147_at	MCF2L					
34868_at	SMG5					
34858_at	KCTD2					
34846_at	CAMK2B					
34764_at	LARS2					
34726_at	CACNB3					
34697_at	LRP6					
34478_at	RAB11B					
34471_at	MYH8					
34449_at	CASP2					
34408_at	RTN2					
34406_at	PACS2					
34260_at	TELO2					
34221_at	HMGXB3					
34210_at	CD52					
34206_at	ARAP1					
34187_at	RBMS2					
34063_at	RECQL5					
34031_i_at	KRIT1					
33850_at	MAP4					
33814_at	PAK4					
33778_at	TBC1D22A					
33768_at	DMWD					
33767_at	NEFH					
33760_at	PEX14					
33736_at	STOML1					
336_at	TBXA2R					
33646_g_at	GM2A					
33579_i_at	GALR3					
33494_at	ETFDH					
33323_r_at	SFN					
33322_i_at	SFN					
33307_at	RRP7A					
33304_at	ISG20					
33197_at	MYO7A					
33148_at	ZFR					
32837_at	AGPAT2					
32836_at	AGPAT1					
32811_at	MYO1C					
32723_at	CSTF1					
32699_s_at	PVR					
32625_at	NPR1					
32541_at	PPP3CC					
32540_at	PPP3CC					
32502_at	GDPD5					
32402_s_at	SYMPK					
32259_at	EZH1					
32209_at	FAM89B					
32137_at	JAG2					
32128_at	CCL18					
320_at	PEX6					
32099_at	SAFB2					
32094_at	CHST3					
32091_at	SLC25A44					
32088_at	BLZF1					
32069_at	N4BP1					
32062_at	LRRC14					
32042_at	ENOX2					
32029_at	PDPK1					
31874_at	GAS2L1					
31861_at	IGHMBP2					
31846_at	RHOD					
31845_at	ELF4					
31837_at	LMF2					
31835_at	HRG					
31826_at	FKBP15					
31807_at	DDX49					
266_s_at	CD24					
244889_at	LOC400499					
244886_at	LOC389641					
244885_at	EBF2					
244882_at	TNRC18					
244881_at	LMLN					
244877_at	GPR173					
244875_at	ASMTL-AS1					
244874_at	CHST15					
244872_at	RBBP4					
244871_s_at	USP32					
244870_at	TES					
244865_at	HAX1					
244864_at	LOC101929475					
244863_at	SH3GLB2					
244861_at	ZNF527					
244858_at	TGIF1					
244857_at	HBEGF					
244852_at	DSEL					
244849_at	SEMA3A					
244848_at	CHD1L					
244630_at	PDPK1					
244629_s_at	PDPK1					
244627_at	TKFC					
244624_at	RPS27A					
244623_at	KCNQ5					
244622_at	BRWD1					
244617_at	GPR26					
244616_x_at	MDM2					
244615_x_at	TARSL2					
244614_at	TFG					
244611_at	MED13					
244608_at	MIR4307HG					
244606_at	ATP1A1					
244600_at	LOC100996583					
244598_at	LCP2					
244593_at	HID1					
244591_x_at	RNF207					
244587_at	ATF7					
244585_at	IFT140					
244584_at	KIAA1549L					
244581_at	ZBTB20					
244578_at	LCP2					
244577_at	LOC102724009					
244575_at	POLA2					
244574_at	PTPRG					
244572_at	KY					
244571_s_at	TTC12					
244570_at	LOC101928433					
244569_at	C8orf37					
244565_at	HMX2					
244563_at	QSER1					
244561_at	SLC9A1					
244557_at	LINC00610					
244556_at	LCP2					
244553_at	HOTTIP					
244552_at	ZNF788					
244551_at	ZNF736					
244547_at	SGK494					
244546_at	CYCS					
244543_s_at	BCDIN3D-AS1					
244542_at	BCDIN3D-AS1					
244538_at	KCTD19					
244533_at	PTPN14					
244531_at	NNT					
244527_at	TRIO					
244526_at	RASGRP3					
244524_at	PAX8-AS1					
244523_at	MMD					
244521_at	TSHZ2					
244519_at	ASXL1					
244518_at	LOC100130452					
244513_at	TMEM161B					
244512_at	HOXB-AS1					
244509_at	GPR155					
244508_at	SEPT7					
244506_at	TMTC1					
244501_at	EVI5L					
244500_s_at	EVI5L					
244498_x_at	UBE2Q2L					
244497_at	PYCARD-AS1					
244495_x_at	TMEM241					
244493_at	GPR22					
244490_at	LINC01355					
244488_at	LSM14B					
244487_at	NCK1					
244486_at	PINK1-AS					
244485_at	HLA-DPB1					
244478_at	LRRC37A3					
244472_at	TRABD2B					
244471_x_at	PANX2					
244467_at	SHISA8					
244466_at	ZNF544					
244463_at	ADAM23					
244462_at	ZNF224					
244461_at	SPECC1					
244460_at	TMEM225					
244455_at	KCNT2					
244453_at	ANKRD53					
244452_at	ERLEC1					
244449_at	LOC102723380					
244446_at	SMAD1-AS2					
AFFX-HSAC07/X00351_5_at	ACTB					
AFFX-HSAC07/X00351_3_at	ACTB					
91952_at	DCAF15					
91920_at	BCAN					
91826_at	EPS8L1					
91816_f_at	MEX3D					
91703_at	EHBP1L1					
91684_g_at	EXOSC4					
91682_at	EXOSC4					
91580_at	LRTM1					
90610_at	LRCH4					
90265_at	ADAP1					
89977_at	ACSM5					
89948_at	PCIF1					
89476_r_at	NPEPL1					
63305_at	PKNOX2					
632_at	GSK3A					
63009_at	SHQ1					
62987_r_at	CACNG4					
61874_at	CACFD1					
61734_at	RCN3					
61732_r_at	IFT74					
61297_at	CASKIN2					
60815_at	POLR2J4					
60794_f_at	ZNF814					
60474_at	FERMT1					
60471_at	RIN3					
60084_at	CYLD					
59999_at	HIF1AN					
59705_at	SCLY					
59697_at	RAB15					
59644_at	BMP2K					
59625_at	NOL3					
59437_at	C9orf116					
59375_at	MYO15B					
58994_at	CC2D1A					
58900_at	UBE2D4					
58780_s_at	ARHGEF40					
58696_at	EXOSC4					
58367_s_at	ZNF419					
58308_at	TRIM62					
57739_at	DND1					
57715_at	CALHM2					
57703_at	SENP5					
57588_at	SLC24A3					
57540_at	RBKS					
57532_at	DVL2					
57516_at	ZNF764					
57082_at	LDLRAP1					
56919_at	WDR48					
56829_at	TRAPPC9					
56821_at	SLC38A7					
56748_at	TRIM10					
564_at	GNA11					
56256_at	SIDT2					
55872_at	ZNF512B					
55705_at	R3HDM4					
55692_at	ELMO2					
55662_at	C10orf76					
55616_at	PGAP3					
55583_at	DOCK6					
55093_at	CHPF2					
55081_at	MICALL1					
55065_at	MARK4					
54970_at	ZMIZ2					
54632_at	THADA					
54051_at	PKNOX1					
